NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION,latitude,longitude
1860,758 Magnolia Ave E,55106,MN,STP - Saint Paul,169900,10/13/2017 0:00,169900,Exclusive Right,169900,131.0957,864,Chain Link,625 - St. Paul,13,10/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,13,"Detached Garage,Garage Door Opener                                                                                                                          ",1296,1780,1838,2017,1296,null,1925,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,Vinyl,"Informal Dining Room,Eat In Kitchen                                                                                             ",Full,1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",4,0,null,0,Unknown,58,44.97371,-93.09407
1861,985 Seminary Ave,55104,MN,STP - Saint Paul,169900,10/5/2017 0:00,169900,Exclusive Right,169900,232.1038,795,null,625 - St. Paul,15,10/20/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Sitting Room,Pantry (Walk-In)                                                                        ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,15,"Detached Garage,Carport,Garage Door Opener                                                                                                                 ",732,1480,1630,2017,732,null,1917,Residential-Single,(SF) One Story,0.12,Central,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                 ",null,Vinyl,Informal Dining Room,"Full,Day/Lookout Windows,Unfinished                                                                                              ",1,0,0,0,SF,1,Main Floor Full Bath,2,0,null,0,Unknown,150,44.96498,-93.14189
1862,1111 Breen St,55106,MN,STP - Saint Paul,170000,10/2/2017 0:00,169900,Exclusive Right,184900,161.9048,810,null,625 - St. Paul,50,11/21/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,null,15,Detached Garage,1050,1938,1938,2017,1050,null,1959,Residential-Single,(SF) One 1/2 Stories,0.148,Central,"Range,Exhaust Fan/Hood,Refrigerator                                                                                                                                                                      ",null,Stucco,null,"Full,Unfinished                                                                                                                   ",1,0,0,0,SF,1,Main Floor Full Bath,3,0,null,0,No,0,44.97496,-93.02667
1863,1796 Clear Ave,55119,MN,STP - Saint Paul,166140,9/25/2017 0:00,169900,Exclusive Right,179900,138.45,864,"Wood,Privacy                           ",625 - St. Paul,43,12/14/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,null,14,Detached Garage,1200,1962,2020,2017,1200,null,1946,Residential-Single,(SF) One 1/2 Stories,0.145,None,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal                                                                                                                               ",null,Metal,Informal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,null,0,Unknown,58,44.98184,-93.0245
1864,1651 Darlene St,55119,MN,STP - Saint Paul,170000,9/25/2017 0:00,169900,Exclusive Right,169900,85.6423,1080,"Wood,Chain Link,Privacy,Partial      ",625 - St. Paul,3,10/5/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office,Laundry                                                                                       ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,3,"Detached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1080,2227,2704,2017,1985,null,1956,Residential-Single,(SF) One Story,0.2,None,"Wall Oven,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                               ",null,"Stucco,Brick/Stone                                  ",Kitchen/Dining Room,"Full,Finished (Livable),Day/Lookout Windows,Concrete Block                                                                      ",1,1,0,0,SF,2,"Main Floor Full Bath,1/2 Basement                                                                                                                                                                               ",3,905,Not Assumable,0,Unknown,477,44.99091,-93.01897
1865,1619 Conway St,55106,MN,STP - Saint Paul,169750,9/20/2017 0:00,169900,Exclusive Right,185000,129.4813,915,None,625 - St. Paul,76,12/5/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Age Over 8 Years                                            ",No,None,25,"Tuckunder,Driveway - Concrete                                                                                                                               ",1095,1970,2024,2016,1311,null,1955,Residential-Single,(SF) Three Level Split,0.142,Central,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                 ",null,Stucco,Kitchen/Dining Room,Full,1,1,0,0,SF,2,"Main Floor Full Bath,1/2 Basement                                                                                                                                                                               ",3,216,null,0,Yes,54,44.95598,-93.0318
1866,1844 Ivy Ave E,55119,MN,STP - Saint Paul,168995,9/20/2017 0:00,169900,Exclusive Right,174900,140.8292,621,"Wood,Privacy                           ",625 - St. Paul,55,11/14/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",Asphalt Shingles,No,null,33,"Detached Garage,Garage Door Opener                                                                                                                          ",1200,2244,2588,2017,1200,null,1920,Residential-Single,(SF) Two Stories,0.114,Central,"Range,Exhaust Fan/Hood,Dishwasher,Washer,Dryer                                                                                                                                                         ",null,Stucco,Separate/Formal Dining Room,Full,1,0,1,0,SF,2,"Upper Level Full Bath,Basement                                                                                                                                                                                 ",3,0,null,0,Yes,344,44.98091,-93.0224
1867,887 Howell St N,55104,MN,STP - Saint Paul,165000,9/1/2017 0:00,169900,Exclusive Right,169900,136.1386,588,Wood,625 - St. Paul,19,9/20/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Porch                                                                                                                     ","Asphalt Shingles,Age Over 8 Years                                            ",No,None,19,"More Parking Onsite for Fee,On-Street Parking Only                                                                                                          ",1212,2108,2108,2017,1212,null,1909,Residential-Single,(SF) Two Stories,0,Central,"Range,Refrigerator,Freezer,Washer,Dryer,Disposal                                                                                                                                                      ",null,Metal,"Separate/Formal Dining Room,Eat In Kitchen                                                                                      ",Full,0,0,0,2,SF,2,"Upper Level 3/4 Bath,3/4 Basement                                                                                                                                                                               ",3,0,Not Assumable,0,No,0,44.96779,-93.18131
1868,1891 Orange Ave E,55119,MN,STP - Saint Paul,168000,8/25/2017 0:00,169900,Exclusive Right,169900,97.1098,1310,null,625 - St. Paul,18,9/12/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,",null,No,null,18,Detached Garage,1458,2337,2730,2017,1730,null,1947,Residential-Single,(SF) One 1/2 Stories,0.142,Central,null,null,"Metal,Vinyl                                         ",null,Partial Finished,1,0,0,0,SF,1,null,3,272,null,0,No,393,44.97953,-93.02064
1869,954 Fremont Ave,55106,MN,STP - Saint Paul,165000,8/25/2017 0:00,169900,Exclusive Right,169900,98.8024,920,Chain Link,625 - St. Paul,32,9/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck                                                                                                  ","Asphalt Shingles,Age 8 Years or Less                                         ",No,null,32,"Detached Garage,Other                                                                                                                                       ",1308,1452,1796,2017,1670,null,1962,Residential-Single,(SF) One 1/2 Stories,0.113,None,"Range,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                             ",null,Stucco,"Eat In Kitchen,Kitchen/Dining Room                                                                                              ","Full,Finished (Livable)                                                                                                           ",1,1,0,0,SF,2,"Main Floor Full Bath,Upper Level 1/2 Bath                                                                                                                                                                       ",4,362,null,0,No,344,44.95768,-93.03748
1870,1396 Margaret St,55106,MN,STP - Saint Paul,175000,8/20/2017 0:00,169900,Exclusive Right,178500,123.7624,1021,None,625 - St. Paul,93,12/11/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,None,28,Detached Garage,1021,2190,2248,2017,1414,null,1953,Residential-Single,(SF) One Story,0.177,Central,"Cooktop,Wall Oven,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Electronic Air Filter                                                                                                              ",null,Stucco,Eat In Kitchen,"Full,Finished (Livable),Concrete Block                                                                                           ",1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",2,393,Not Assumable,0,Unknown,58,44.96125,-93.00504
1871,1121 Case Ave,55106,MN,STP - Saint Paul,169900,8/18/2017 0:00,169900,Exclusive Right,190000,118.4798,1000,null,625 - St. Paul,35,9/22/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,null,9,Detached Garage,1434,2394,0,2017,1434,null,1957,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range,Refrigerator,Freezer,Washer,Dryer                                                                                                                                                                ",null,Vinyl,Eat In Kitchen,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,null,0,No,0,44.97042,-93.05306
1872,"406 Wacouta St,306             ",55101,MN,STP - Saint Paul,174500,8/18/2017 0:00,169900,Exclusive Right,169900,217.0398,804,null,625 - St. Paul,20,9/7/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,,,",Flat,No,null,20,Attached Garage,804,2482,2540,2017,804,306,1905,Residential-Single,(CC) High Rise (4+ Levels),0,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                        ",null,Brick/Stone,"Kitchen/Dining Room,Living/Dining Room                                                                                          ",None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,null,390,Unknown,58,44.95063,-93.08758
1873,251 Maryland Ave W,55117,MN,STP - Saint Paul,166500,8/15/2017 0:00,169900,Exclusive Right,169900,92.4486,821,Wire,625 - St. Paul,98,11/21/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,null,98,Detached Garage,1180,1520,1575,2017,1801,null,1928,Residential-Single,(SF) One 1/2 Stories,0.12,Central,"Range,Microwave,Refrigerator,Washer,Dryer                                                                                                                                                              ",null,Stucco,Separate/Formal Dining Room,"Full,Partial Finished,Egress Windows                                                                                             ",1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",4,621,null,0,Yes,255,44.9776,-93.11072
1874,49 Montana Ave W,55117,MN,STP - Saint Paul,186000,8/15/2017 0:00,169900,Exclusive Right,169900,196.2025,948,Chain Link,625 - St. Paul,2,8/28/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Patio                                                                                                 ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,2,Detached Garage,948,1594,1594,2017,948,null,1959,Residential-Single,(SF) One Story,0.14,Central,"Range,Microwave,Refrigerator,Washer,Dryer                                                                                                                                                              ",null,Shakes,"Kitchen/Dining Room,Living/Dining Room                                                                                          ","Full,Day/Lookout Windows,Concrete Block                                                                                          ",1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",3,0,Not Assumable,0,No,0,44.98752,-93.10224
1875,1289 Hartford Ave,55116,MN,STP - Saint Paul,170000,8/14/2017 0:00,169900,Exclusive Right,169900,185.3871,792,null,625 - St. Paul,0,8/14/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,null,0,Detached Garage,917,3642,3642,2017,917,null,1921,Residential-Single,(SF) One 1/2 Stories,0.11,None,null,null,Wood,null,Unfinished,1,0,0,0,SF,1,null,2,0,null,0,Unknown,0,44.92355,-93.17784
1876,1750 Louise Ave,55106,MN,STP - Saint Paul,169900,8/11/2017 0:00,169900,Exclusive Right,179900,145.2137,1170,"Wood,Partial                           ",625 - St. Paul,60,10/23/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Den                                                                                                   ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,null,8,"Attached Garage,Driveway - Concrete                                                                                                                         ",1170,2346,2876,2017,1170,null,1977,Residential-Single,(SF) One Story,0.165,Central,"Range,Dishwasher,Refrigerator,Freezer,Washer,Dryer                                                                                                                                                    ",null,"Wood,Metal,Vinyl                                   ",Eat In Kitchen,Crawl Space,2,0,0,0,SF,2,"Main Floor Full Bath,Private Master,Full Master                                                                                                                                                                ",2,0,null,0,No,530,44.94627,-93.02631
1877,997 Avon St N,55103,MN,STP - Saint Paul,170000,8/10/2017 0:00,169900,Exclusive Right,169900,203.3493,704,None,625 - St. Paul,35,9/14/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office                                                                                                ","Asphalt Shingles,Age Over 8 Years                                            ",No,None,35,"Detached Garage,Driveway - Concrete,Garage Door Opener                                                                                                     ",836,1996,2718,2017,836,null,1911,Residential-Single,(SF) One 1/2 Stories,0.091,None,"Range,Cooktop,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                  ",null,Stucco,Informal Dining Room,Unfinished,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,5473,44.97116,-93.13351
1878,731 Thomas Ave,55104,MN,STP - Saint Paul,160000,8/7/2017 0:00,169900,Exclusive Right,169900,106.6667,1500,Wood,625 - St. Paul,1,8/8/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office                                                                                                ",Asphalt Shingles,No,None,1,Detached Garage,1500,1803,1803,2017,1500,null,1882,Residential-Single,(SF) Two Stories,0.09,None,"Range,Cooktop,Refrigerator,Washer,Dryer                                                                                                                                                                ",null,Stucco,Eat In Kitchen,Full,1,2,0,0,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,1/2 Basement                                                                                                                                                        ",4,0,null,0,Unknown,0,44.95937,-93.14929
1879,1013 Edmund Ave,55104,MN,STP - Saint Paul,168000,7/31/2017 0:00,169900,Exclusive Right,169900,76.3636,926,Partial,625 - St. Paul,0,7/31/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Informal Dining Room,Office,Deck                                                                    ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,null,0,"Detached Garage,Driveway - Concrete,Garage Door Opener                                                                                                     ",1500,1258,1374,2017,2200,null,1917,Residential-Single,(SF) Two Stories,0.09,Window,"Cooktop,Wall Oven,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                   ",null,Stucco,null,"Full,Finished (Livable),Concrete Block                                                                                           ",1,0,0,1,SF,2,"Upper Level Full Bath,3/4 Basement                                                                                                                                                                             ",3,700,null,0,Yes,100,44.95845,-93.12881
1880,267 Maryland Ave W,55117,MN,STP - Saint Paul,161900,7/27/2017 0:00,169900,Exclusive Right,169900,103.3184,893,Wire,625 - St. Paul,24,9/18/2017 0:00,1,"Living Room,,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,",null,No,None,24,Detached Garage,1203,1744,1802,2017,1567,null,1951,Residential-Single,(SF) One 1/2 Stories,0.152,Central,"Range,Cooktop,Microwave,Refrigerator,Washer,Dryer                                                                                                                                                     ",null,Stucco,Kitchen/Dining Room,"Full,Finished (Livable)                                                                                                           ",1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",3,364,null,0,Yes,54,44.97746,-93.11146
1881,2090 Arlington Ave E,55119,MN,STP - Saint Paul,169900,7/19/2017 0:00,169900,Exclusive Right,175000,127.1707,964,"Wood,Chain Link                        ",625 - St. Paul,58,9/15/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Bar/Wet Bar Room,Laundry,Utility Room                                                               ","Asphalt Shingles,Age Over 8 Years                                            ",No,None,45,Detached Garage,964,1840,1840,2017,1336,null,1952,Residential-Single,(SF) One Story,0.14,Central,"Range,Microwave,Dishwasher,Refrigerator                                                                                                                                                                 ",null,Stucco,Eat In Kitchen,"Full,Partial Finished                                                                                                             ",1,0,0,1,SF,2,Main Floor Full Bath,2,372,Not Assumable,0,Unknown,0,44.98453,-93.01227
1882,1107 Jenks Ave,55106,MN,STP - Saint Paul,172500,7/13/2017 0:00,169900,Exclusive Right,169900,158.5478,788,"Wood,Chain Link                        ",625 - St. Paul,7,7/20/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck                                                                                                  ","Asphalt Shingles,Age 8 Years or Less                                         ",No,null,7,"Detached Garage,Garage Door Opener                                                                                                                          ",788,1358,1358,2017,1088,null,1952,Residential-Single,(SF) One Story,0.11,Central,"Range,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                             ",null,Vinyl,Eat In Kitchen,"Full,Finished (Livable),Partial Finished,Concrete Block                                                                         ",1,0,0,0,SF,1,Main Floor Full Bath,2,300,Not Assumable,0,No,0,44.97144,-93.05381
1883,2148 Geranium Ave E,55119,MN,STP - Saint Paul,177000,7/9/2017 0:00,169900,Exclusive Right,169900,134.7032,864,Wood,625 - St. Paul,20,7/29/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,null,20,Detached Garage,864,2320,2668,2017,1314,null,1952,Residential-Single,(SF) One Story,0.17,Central,"Range,Cooktop,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                    ",null,Wood,Informal Dining Room,Finished (Livable),1,0,0,0,SF,1,Main Floor Full Bath,3,450,Not Assumable,0,Yes,348,44.97502,-93.0095
1884,2043 Montreal Ave,55116,MN,STP - Saint Paul,170000,7/7/2017 0:00,169900,Exclusive Right,169900,234.1598,363,null,625 - St. Paul,12,7/19/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,null,12,"Uncovered/Open,Assigned                                                                                                                                     ",726,1756,1756,2016,726,null,1949,Residential-Multi-Family,(TH) Side x Side,0.016,Central,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                      ",null,Stucco,Breakfast Area,Full,1,0,0,0,SF,1,Upper Level Full Bath,2,0,null,239,No,0,44.91261,-93.18601
1885,959 James Ave,55102,MN,STP - Saint Paul,170500,6/30/2017 0:00,169900,Exclusive Right,169900,144.983,672,None,625 - St. Paul,15,7/15/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Pantry (Walk-In),Foyer,Three Season Porch,Deck                                                     ","Asphalt Shingles,Age Over 8 Years                                            ",No,None,15,Detached Garage,1176,1947,2777,2017,1176,null,1911,Residential-Single,(SF) One 1/2 Stories,0.12,Central,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                           ",null,Vinyl,"Separate/Formal Dining Room,Eat In Kitchen                                                                                      ","Full,Concrete Block,Stone,Unfinished                                                                                            ",1,0,0,0,SF,1,Upper Level Full Bath,2,0,Not Assumable,0,No,830,44.92775,-93.13441
1886,987 Wilson Ave,55106,MN,STP - Saint Paul,177000,6/30/2017 0:00,169900,Exclusive Right,169900,135.7362,784,Wood,625 - St. Paul,10,7/10/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,null,10,Detached Garage,1304,0,333,2016,1304,null,1886,Residential-Single,(SF) Two Stories,0.11,Central,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Air-To-Air Exchanger                                                                                                          ",null,Wood,null,Partial,1,1,0,0,SF,2,"Main Floor 1/2 Bath,Upper Level Full Bath                                                                                                                                                                       ",4,0,null,0,Unknown,333,44.95413,-93.05891
1887,1700 Montana Ave E,55106,MN,STP - Saint Paul,172000,6/26/2017 0:00,169900,Exclusive Right,174900,143.3333,774,Chain Link,625 - St. Paul,20,7/16/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,None,17,"Detached Garage,Garage Door Opener                                                                                                                          ",774,1816,2200,2016,1200,null,1950,Residential-Single,(SF) One Story,0.142,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,Metal,"Informal Dining Room,Kitchen/Dining Room                                                                                        ","Full,Finished (Livable),Drain Tiled                                                                                              ",1,0,0,0,SF,1,Main Floor Full Bath,2,426,null,0,Unknown,381,44.98736,-93.02864
1888,2078 4th St E,55119,MN,STP - Saint Paul,165000,6/24/2017 0:00,169900,Exclusive Right,169900,137.5,724,"Wood,Chain Link                        ",625 - St. Paul,0,6/24/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Laundry,Porch,Patio                                                                                 ","Asphalt Shingles,Pitched                                                     ",No,null,0,"Detached Garage,Insulated Garage,Driveway - Other Surface,Garage Door Opener                                                                              ",720,1018,1882,2016,1200,null,1954,Residential-Single,(SF) One Story,0.1,Central,"Range,Microwave,Dishwasher,Washer,Dryer,Disposal                                                                                                                                                      ",null,Vinyl,"Eat In Kitchen,Breakfast Area                                                                                                   ","Full,Finished (Livable),Egress Windows,Concrete Block                                                                           ",1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",3,480,null,0,No,0,44.95835,-93.01282
1889,845 Juno Ave,55102,MN,STP - Saint Paul,180000,6/23/2017 0:00,169900,Exclusive Right,169900,175.6098,936,"Chain Link,Partial                     ",625 - St. Paul,14,7/7/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office,Porch                                                                                         ","Asphalt Shingles,Pitched                                                     ",No,null,14,Detached Garage,1025,1804,1858,2016,1025,null,1900,Residential-Single,(SF) One Story,0.11,None,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                        ",null,Vinyl,Breakfast Area,"Full,Unfinished                                                                                                                   ",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,54,44.92612,-93.13564
1890,1740 Montana Ave E,55106,MN,STP - Saint Paul,169500,6/20/2017 0:00,169900,Exclusive Right,179900,110.9293,768,Chain Link,625 - St. Paul,97,9/25/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",Asphalt Shingles,No,null,55,"Detached Garage,Garage Door Opener                                                                                                                          ",1188,1430,1978,2017,1528,null,1952,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,"Stucco,Cement Board                                 ",Eat In Kitchen,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,340,Not Assumable,0,Unknown,548,44.98735,-93.02685
1891,977 Watson Ave,55102,MN,STP - Saint Paul,180000,6/8/2017 0:00,169900,Exclusive Right,169900,194.3844,926,Full,625 - St. Paul,0,6/8/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,0,"Detached Garage,Driveway - Concrete                                                                                                                         ",926,1964,2022,2017,926,null,1952,Residential-Single,(SF) One Story,0.17,Central,"Range,Microwave,Refrigerator,Washer,Dryer                                                                                                                                                              ",null,"Stucco,Brick/Stone                                  ",Kitchen/Dining Room,"Full,Concrete Block,Unfinished                                                                                                   ",1,0,0,0,SF,1,Main Floor Full Bath,2,0,null,0,Unknown,58,44.92438,-93.14131
1892,1561 Sherwood Ave,55106,MN,STP - Saint Paul,175000,6/7/2017 0:00,169900,Exclusive Right,169900,138.8889,880,null,625 - St. Paul,19,6/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Pitched                                                     ",No,None,19,Detached Garage,880,1916,1970,2016,1260,null,1954,Residential-Single,(SF) One Story,0.14,Central,"Range,Refrigerator                                                                                                                                                                                        ",null,"Wood,Shakes,Metal                                  ","Informal Dining Room,Eat In Kitchen,Breakfast Area                                                                             ","Full,Partial Finished                                                                                                             ",1,0,0,0,SF,1,Main Floor Full Bath,3,380,Not Assumable,0,No,54,44.98392,-93.03393
